Ciudades,Rutas,TotalPremium,LimitePremium,Nanosegundos
2,1,0,0,2305
2,1,1,0,2374
2,1,1,1,2584
3,1,0,0,3142
3,1,1,0,3073
3,1,1,1,4469
3,2,0,0,3073
3,2,1,0,3213
3,2,1,1,4330
3,2,2,0,3073
3,2,2,1,4260
3,2,2,2,5448
3,3,0,0,3842
3,3,1,0,3841
3,3,1,1,5308
3,3,2,0,3911
3,3,2,1,5378
3,3,2,2,6495
3,3,3,0,3631
3,3,3,1,5029
3,3,3,2,6146
3,3,3,3,8800
4,1,0,0,3771
4,1,1,0,3702
4,1,1,1,5447
4,2,0,0,3771
4,2,1,0,3771
4,2,1,1,5518
4,2,2,0,3771
4,2,2,1,5587
4,2,2,2,7473
4,3,0,0,3771
4,3,1,0,3701
4,3,1,1,5587
4,3,2,0,3771
4,3,2,1,5517
4,3,2,2,6845
4,3,3,0,3562
4,3,3,1,5378
4,3,3,2,6984
4,3,3,3,9499
4,4,0,0,3842
4,4,1,0,3911
4,4,1,1,5937
4,4,2,0,3771
4,4,2,1,5727
4,4,2,2,8521
4,4,3,0,3911
4,4,3,1,5727
4,4,3,2,8660
4,4,3,3,10755
4,4,4,0,3841
4,4,4,1,5377
4,4,4,2,8101
4,4,4,3,10197
4,4,4,4,13409
4,5,0,0,4610
4,5,1,0,4190
4,5,1,1,6704
4,5,2,0,4889
4,5,2,1,6635
4,5,2,2,8800
4,5,3,0,4749
4,5,3,1,6844
4,5,3,2,9079
4,5,3,3,11034
4,5,4,0,4679
4,5,4,1,6495
4,5,4,2,8521
4,5,4,3,11035
4,5,4,4,13689
4,5,5,0,4609
4,5,5,1,6425
4,5,5,2,8591
4,5,5,3,11593
4,5,5,4,13619
4,5,5,5,16133
4,6,0,0,4610
4,6,1,0,4540
4,6,1,1,6565
4,6,2,0,4609
4,6,2,1,6495
4,6,2,2,8590
4,6,3,0,4540
4,6,3,1,6565
4,6,3,2,8870
4,6,3,3,11384
4,6,4,0,4819
4,6,4,1,6495
4,6,4,2,8520
4,6,4,3,10965
4,6,4,4,13480
4,6,5,0,4400
4,6,5,1,6146
4,6,5,2,8102
4,6,5,3,11035
4,6,5,4,13340
4,6,5,5,16343
4,6,6,0,4330
4,6,6,1,6495
4,6,6,2,7752
4,6,6,3,10267
4,6,6,4,12781
4,6,6,5,15714
4,6,6,6,19346
5,1,0,0,3283
5,1,1,0,3282
5,1,1,1,5098
5,2,0,0,3422
5,2,1,0,3213
5,2,1,1,4889
5,2,2,0,3212
5,2,2,1,5029
5,2,2,2,7753
5,3,0,0,3212
5,3,1,0,3143
5,3,1,1,4749
5,3,2,0,3143
5,3,2,1,5028
5,3,2,2,7752
5,3,3,0,3143
5,3,3,1,5098
5,3,3,2,7682
5,3,3,3,10127
5,4,0,0,3142
5,4,1,0,3143
5,4,1,1,4819
5,4,2,0,3212
5,4,2,1,4889
5,4,2,2,7752
5,4,3,0,3073
5,4,3,1,4889
5,4,3,2,7403
5,4,3,3,9848
5,4,4,0,3073
5,4,4,1,4819
5,4,4,2,7403
5,4,4,3,10057
5,4,4,4,12292
5,5,0,0,3423
5,5,1,0,3492
5,5,1,1,5726
5,5,2,0,3423
5,5,2,1,5518
5,5,2,2,7683
5,5,3,0,3492
5,5,3,1,5727
5,5,3,2,7473
5,5,3,3,10196
5,5,4,0,3353
5,5,4,1,5447
5,5,4,2,7543
5,5,4,3,10057
5,5,4,4,13060
5,5,5,0,3352
5,5,5,1,5378
5,5,5,2,7543
5,5,5,3,10197
