Ciudades,RutasExistentes,Nanosegundos
2,0,2102
2,1,1751
3,0,3225
3,1,2993
3,2,2624
3,3,2716
4,0,4720
4,1,4590
4,2,4024
4,3,3962
4,4,3375
4,5,3766
4,6,3678
5,0,6659
5,1,6494
5,2,5540
5,3,5455
5,4,5309
5,5,5006
5,6,5162
5,7,5459
5,8,5488
5,9,5432
5,10,2725
6,0,3882
6,1,4312
6,2,3785
6,3,3731
6,4,3078
6,5,3003
6,6,3041
6,7,3133
6,8,2939
6,9,3082
6,10,3199
6,11,3268
6,12,3619
6,13,3561
6,14,3600
6,15,3465
7,0,5186
7,1,5166
7,2,4717
7,3,4650
7,4,4716
7,5,4392
7,6,4139
7,7,4278
7,8,4144
7,9,4341
7,10,4201
7,11,4537
7,12,3922
7,13,4583
7,14,4657
7,15,4211
7,16,4815
7,17,4692
7,18,4622
7,19,4616
7,20,4951
7,21,5023
8,0,6430
8,1,6108
8,2,6110
8,3,6354
8,4,5809
8,5,5717
8,6,5410
8,7,5683
8,8,5502
8,9,5469
8,10,4990
8,11,5528
8,12,5209
8,13,5271
8,14,5408
8,15,5726
8,16,5429
8,17,5459
8,18,5377
8,19,5639
8,20,5578
8,21,5809
8,22,6059
8,23,5896
8,24,5934
8,25,6325
8,26,6183
8,27,6522
8,28,6201
9,0,7369
9,1,7948
9,2,8261
9,3,7042
9,4,7298
9,5,7151
9,6,7411
9,7,6782
9,8,6597
9,9,7390
9,10,6793
9,11,6568
9,12,6861
9,13,6946
9,14,7130
9,15,7578
9,16,7176
9,17,6795
9,18,7211
9,19,7346
9,20,6827
9,21,7003
9,22,6974
9,23,7029
9,24,7477
9,25,7283
9,26,7126
9,27,7124
9,28,6920
9,29,7183
9,30,7360
9,31,7196
9,32,7837
9,33,7598
9,34,8008
9,35,7675
9,36,8070
10,0,9045
10,1,9528
10,2,9915
10,3,9552
10,4,8964
10,5,8559
10,6,8713
10,7,9205
10,8,7879
10,9,8197
10,10,8438
10,11,8240
10,12,8420
10,13,8018
10,14,8036
10,15,8151
10,16,8306
10,17,8698
10,18,7816
10,19,8375
10,20,8164
10,21,8087
10,22,9012
10,23,8820
10,24,8456
10,25,8773
10,26,8133
10,27,8532
10,28,7856
10,29,8619
10,30,8753
10,31,8384
10,32,9474
10,33,8258
10,34,8711
10,35,9051
10,36,8415
10,37,8943
10,38,8745
10,39,9362
10,40,8974
10,41,8742
10,42,9090
10,43,9398
10,44,9762
10,45,9797
11,0,9411
11,1,9853
11,2,9851
11,3,9667
11,4,9502
11,5,9505
11,6,10346
11,7,9871
11,8,10355
11,9,10470
