Ciudades,PesoMaximo,Nanosegundos
2,0,628
2,1,558
2,2,1397
2,3,19695
2,4,3143
2,5,19276
2,6,2235
2,7,18996
2,8,2165
2,9,19835
2,10,2234
2,11,19765
2,12,2933
2,13,19765
2,14,3771
2,15,19834
2,16,3771
2,17,19695
2,18,3841
2,19,18857
2,20,3701
2,21,18996
2,22,3771
2,23,18927
2,24,4679
2,25,19904
2,26,2933
2,27,19765
2,28,3701
2,29,19834
2,30,3842
2,31,19765
2,32,4609
2,33,19905
2,34,4610
2,35,19835
2,36,3003
2,37,19835
2,38,2933
2,39,19066
2,40,4679
2,41,19834
2,42,4539
2,43,19975
2,44,4539
2,45,19904
2,46,3772
2,47,19905
2,48,4609
2,49,19974
2,50,5377
3,0,559
3,1,2165
3,2,2095
3,3,3771
3,4,3701
3,5,5377
3,6,5517
3,7,5307
3,8,3771
3,9,5448
3,10,5448
3,11,7123
3,12,6984
3,13,7054
3,14,5378
3,15,5238
3,16,7054
3,17,7054
3,18,7194
3,19,6844
3,20,8869
3,21,8661
3,22,7054
3,23,8660
3,24,8800
3,25,8660
3,26,8800
3,27,8451
3,28,8730
3,29,8450
3,30,8661
3,31,8870
3,32,8731
3,33,8591
3,34,8730
3,35,8590
3,36,8800
3,37,8591
3,38,8521
3,39,8590
3,40,8660
3,41,8661
3,42,8520
3,43,10476
3,44,10197
3,45,10337
3,46,10337
3,47,8590
3,48,10127
3,49,8520
3,50,10337
4,0,44768
4,1,5867
4,2,6076
4,3,5936
4,4,5937
4,5,8520
4,6,8730
4,7,8800
4,8,8730
4,9,8660
4,10,8660
4,11,11314
4,12,11524
4,13,11593
4,14,8590
4,15,11453
4,16,11245
4,17,11174
4,18,11664
4,19,14318
4,20,11454
4,21,11384
4,22,14038
4,23,14038
4,24,14317
4,25,11314
4,26,11384
4,27,14038
4,28,11174
4,29,14038
4,30,13899
4,31,13829
4,32,14388
4,33,14108
4,34,13899
4,35,13829
4,36,14038
4,37,13898
4,38,14247
4,39,13758
4,40,16762
4,41,14038
4,42,17111
4,43,16831
4,44,13899
4,45,14387
4,46,13898
4,47,17251
4,48,16343
4,49,16971
4,50,16901
5,0,9149
5,1,9708
5,2,9289
5,3,9987
5,4,9289
5,5,13619
5,6,9359
5,7,13968
5,8,13898
5,9,13199
5,10,14038
5,11,18089
5,12,13899
5,13,18158
5,14,18508
5,15,18019
5,16,18438
5,17,18019
5,18,17879
5,19,17391
5,20,22349
5,21,22210
5,22,17879
5,23,17879
5,24,22558
5,25,22419
5,26,22489
5,27,22908
5,28,22419
5,29,22279
5,30,22070
5,31,22698
