Ciudades,Rutas,PesoMaximo,Nanosegundos
3,3,0,7473
3,3,1,7473
3,3,2,7473
3,3,3,7473
3,3,4,7473
3,3,5,7473
3,3,6,7473
3,3,7,7473
3,3,8,7473
3,3,9,7473
3,3,10,7473
3,3,11,7473
3,3,12,7473
3,3,13,7473
3,3,14,7473
3,3,15,7473
3,3,16,7473
3,3,17,7473
3,3,18,7473
3,3,19,7473
3,3,20,7473
3,3,21,7473
3,3,22,7473
3,3,23,7473
3,3,24,7473
3,3,25,7473
3,3,26,7473
3,3,27,7473
3,3,28,7473
3,3,29,7473
3,3,30,7473
3,3,31,7473
3,3,32,7473
3,3,33,7473
3,3,34,7473
3,3,35,7473
3,3,36,7473
3,3,37,7473
3,3,38,7473
3,3,39,7473
3,3,40,7473
3,3,41,7473
3,3,42,7473
3,3,43,7473
3,3,44,7473
3,3,45,7473
3,3,46,7473
3,3,47,7473
3,3,48,7473
3,3,49,7473
3,3,50,7473
3,3,51,7473
3,3,52,7473
3,3,53,7473
3,3,54,7473
3,3,55,7473
3,3,56,7473
3,3,57,7473
3,3,58,7473
3,3,59,7473
3,3,60,7473
3,3,61,7473
3,3,62,7473
3,3,63,7473
3,3,64,7473
3,3,65,7473
3,3,66,7473
3,3,67,7473
3,3,68,7473
3,3,69,7473
3,3,70,7473
3,3,71,7473
3,3,72,7473
3,3,73,7473
3,3,74,7473
3,3,75,7473
3,3,76,7473
3,3,77,7473
3,3,78,7473
3,3,79,7473
3,3,80,7473
3,3,81,7473
3,3,82,7473
3,3,83,7473
3,3,84,7473
3,3,85,7473
3,3,86,7473
3,3,87,7473
3,3,88,7473
3,3,89,7473
3,3,90,7473
3,3,91,7473
3,3,92,7473
3,3,93,7473
3,3,94,7473
3,3,95,7473
3,3,96,7473
3,3,97,7473
3,3,98,7473
3,3,99,7473
3,3,100,7473
4,4,0,4330
4,4,1,4330
4,4,2,4330
4,4,3,4330
4,4,4,4330
4,4,5,4330
4,4,6,4330
4,4,7,4330
4,4,8,4330
4,4,9,4330
4,4,10,4330
4,4,11,4330
4,4,12,4330
4,4,13,4330
4,4,14,4330
4,4,15,4330
4,4,16,4330
4,4,17,4330
4,4,18,4330
4,4,19,4330
4,4,20,4330
4,4,21,4330
4,4,22,4330
4,4,23,4330
4,4,24,4330
4,4,25,4330
4,4,26,4330
4,4,27,4330
4,4,28,4330
4,4,29,4330
4,4,30,4330
4,4,31,4330
4,4,32,4330
4,4,33,4330
4,4,34,4330
4,4,35,4330
4,4,36,4330
4,4,37,4330
4,4,38,4330
4,4,39,4330
4,4,40,4330
4,4,41,4330
4,4,42,4330
4,4,43,4330
4,4,44,4330
4,4,45,4330
4,4,46,4330
4,4,47,4330
4,4,48,4330
4,4,49,4330
4,4,50,4330
4,4,51,4330
4,4,52,4330
4,4,53,4330
4,4,54,4330
4,4,55,4330
4,4,56,4330
4,4,57,4330
4,4,58,4330
4,4,59,4330
4,4,60,4330
4,4,61,4330
4,4,62,4330
4,4,63,4330
4,4,64,4330
4,4,65,4330
4,4,66,4330
4,4,67,4330
4,4,68,4330
4,4,69,4330
4,4,70,4330
4,4,71,4330
4,4,72,4330
4,4,73,4330
4,4,74,4330
4,4,75,4330
4,4,76,4330
4,4,77,4330
4,4,78,4330
4,4,79,4330
4,4,80,4330
4,4,81,4330
4,4,82,4330
4,4,83,4330
4,4,84,4330
4,4,85,4330
4,4,86,4330
4,4,87,4330
4,4,88,4330
4,4,89,4330
4,4,90,4330
4,4,91,4330
4,4,92,4330
4,4,93,4330
4,4,94,4330
4,4,95,4330
4,4,96,4330
4,4,97,4330
4,4,98,4330
4,4,99,4330
4,4,100,4330
4,5,0,5377
4,5,1,5377
4,5,2,5377
4,5,3,5377
4,5,4,5377
4,5,5,5377
4,5,6,5377
4,5,7,5377
4,5,8,5377
4,5,9,5377
4,5,10,5377
4,5,11,5377
4,5,12,5377
4,5,13,5377
4,5,14,5377
4,5,15,5377
4,5,16,5377
4,5,17,5377
4,5,18,5377
4,5,19,5377
4,5,20,5377
4,5,21,5377
4,5,22,5377
4,5,23,5377
4,5,24,5377
4,5,25,5377
4,5,26,5377
4,5,27,5377
4,5,28,5377
4,5,29,5377
4,5,30,5377
4,5,31,5377
4,5,32,5377
4,5,33,5377
4,5,34,5377
4,5,35,5377
4,5,36,5377
4,5,37,5377
4,5,38,5377
4,5,39,5377
4,5,40,5377
4,5,41,5377
4,5,42,5377
4,5,43,5377
4,5,44,5377
4,5,45,5377
4,5,46,5377
4,5,47,5377
4,5,48,5377
4,5,49,5377
4,5,50,5377
4,5,51,5377
4,5,52,5377
4,5,53,5377
4,5,54,5377
4,5,55,5377
4,5,56,5377
4,5,57,5377
4,5,58,5377
4,5,59,5377
4,5,60,5377
4,5,61,5377
4,5,62,5377
4,5,63,5377
4,5,64,5377
4,5,65,5377
4,5,66,5377
4,5,67,5377
4,5,68,5377
4,5,69,5377
4,5,70,5377
4,5,71,5377
4,5,72,5377
4,5,73,5377
4,5,74,5377
4,5,75,5377
4,5,76,5377
4,5,77,5377
4,5,78,5377
4,5,79,5377
4,5,80,5377
4,5,81,5377
4,5,82,5377
4,5,83,5377
4,5,84,5377
4,5,85,5377
4,5,86,5377
4,5,87,5377
4,5,88,5377
4,5,89,5377
4,5,90,5377
4,5,91,5377
4,5,92,5377
4,5,93,5377
4,5,94,5377
4,5,95,5377
4,5,96,5377
4,5,97,5377
4,5,98,5377
4,5,99,5377
4,5,100,5377
4,6,0,5937
4,6,1,5937
4,6,2,5937
4,6,3,5937
4,6,4,5937
4,6,5,5937
4,6,6,5937
4,6,7,5937
4,6,8,5937
4,6,9,5937
4,6,10,5937
4,6,11,5937
4,6,12,5937
4,6,13,5937
4,6,14,5937
4,6,15,5937
4,6,16,5937
4,6,17,5937
4,6,18,5937
4,6,19,5937
4,6,20,5937
4,6,21,5937
4,6,22,5937
4,6,23,5937
4,6,24,5937
4,6,25,5937
4,6,26,5937
4,6,27,5937
4,6,28,5937
4,6,29,5937
4,6,30,5937
4,6,31,5937
4,6,32,5937
4,6,33,5937
4,6,34,5937
4,6,35,5937
4,6,36,5937
4,6,37,5937
4,6,38,5937
4,6,39,5937
4,6,40,5937
4,6,41,5937
4,6,42,5937
4,6,43,5937
4,6,44,5937
4,6,45,5937
4,6,46,5937
4,6,47,5937
4,6,48,5937
4,6,49,5937
4,6,50,5937
4,6,51,5937
4,6,52,5937
4,6,53,5937
4,6,54,5937
4,6,55,5937
4,6,56,5937
4,6,57,5937
4,6,58,5937
4,6,59,5937
4,6,60,5937
4,6,61,5937
4,6,62,5937
4,6,63,5937
4,6,64,5937
4,6,65,5937
4,6,66,5937
4,6,67,5937
4,6,68,5937
4,6,69,5937
4,6,70,5937
4,6,71,5937
4,6,72,5937
4,6,73,5937
4,6,74,5937
4,6,75,5937
4,6,76,5937
4,6,77,5937
4,6,78,5937
4,6,79,5937
4,6,80,5937
4,6,81,5937
4,6,82,5937
4,6,83,5937
4,6,84,5937
4,6,85,5937
4,6,86,5937
4,6,87,5937
4,6,88,5937
4,6,89,5937
4,6,90,5937
4,6,91,5937
4,6,92,5937
4,6,93,5937
4,6,94,5937
4,6,95,5937
4,6,96,5937
4,6,97,5937
4,6,98,5937
4,6,99,5937
4,6,100,5937
5,5,0,5797
5,5,1,5797
5,5,2,5797
5,5,3,5797
5,5,4,5797
5,5,5,5797
5,5,6,5797
5,5,7,5797
5,5,8,5797
5,5,9,5797
5,5,10,5797
5,5,11,5797
5,5,12,5797
5,5,13,5797
5,5,14,5797
